year,quarter,real,aggregated,value
2021,4,28,None,155.1
2021,4,28,None,135.58
2021,4,28,None,127.52
2021,4,28,None,144.99
2021,4,28,None,104.0
2021,4,28,None,103.44
2021,4,28,None,171.79
2021,4,28,None,175.36
2021,4,28,None,179.48
2021,4,28,None,219.86
2021,4,28,None,138.99
2021,4,28,None,175.2
2021,4,28,None,161.14
2021,4,28,None,155.15
2021,4,28,None,175.96
2021,4,28,None,137.51
2021,4,28,None,160.26
2021,4,28,None,163.28
2021,4,28,None,111.12
2021,4,28,None,138.62
2021,4,28,None,188.09
2021,4,28,None,138.48
2021,4,28,None,0.0
2021,4,None,7,0.0
2021,4,28,None,306.6
2022,1,None,7,144.84
2022,1,None,7,145.62
2022,1,None,7,0.0
2022,1,None,7,141.81
2022,1,None,7,141.89
2022,1,None,7,141.81
2022,1,28,None,131.47
2022,1,28,None,162.52
2022,1,28,None,210.0
2022,1,28,None,140.64
2022,1,None,7,163.2
2022,1,28,None,175.37
2022,1,28,None,159.07
2022,1,28,None,139.05
2022,1,28,None,128.6
2022,1,28,None,152.25
2022,1,28,None,105.7
2022,1,28,None,103.95
2022,1,28,None,176.06
2022,1,28,None,183.12
2022,1,28,None,184.34
2022,1,28,None,241.42
2022,1,28,None,139.69
2022,1,28,None,182.98
2022,1,28,None,165.94
2022,1,28,None,160.3
2022,1,28,None,182.64
2022,1,28,None,139.82
2022,1,28,None,166.78
2022,1,28,None,166.46
2022,1,28,None,112.23
2022,1,28,None,142.19
2022,1,28,None,196.06
2022,1,28,None,144.62
2022,1,28,None,0.0
2022,1,None,7,0.0
2022,1,28,None,430.8
2022,2,None,7,148.12
2022,2,None,7,148.91
2022,2,None,7,0.0
2022,2,None,7,144.91
2022,2,None,7,145.01
2022,2,None,7,144.91
2022,2,28,None,133.17
2022,2,28,None,167.58
2022,2,28,None,217.2
2022,2,28,None,142.51
2022,2,None,7,166.6
2022,2,28,None,189.36
2022,2,28,None,161.89
2022,2,28,None,141.71
2022,2,28,None,130.83
2022,2,28,None,157.94
2022,2,28,None,108.1
2022,2,28,None,106.35
2022,2,28,None,185.56
2022,2,28,None,193.91
2022,2,28,None,188.4
2022,2,28,None,255.23
2022,2,28,None,144.63
2022,2,28,None,188.33
2022,2,28,None,169.47
2022,2,28,None,163.5
2022,2,28,None,188.31
2022,2,28,None,144.94
2022,2,28,None,172.56
2022,2,28,None,175.62
2022,2,28,None,113.81
2022,2,28,None,142.86
2022,2,28,None,211.23
2022,2,28,None,147.68
2022,2,28,None,0.0
2022,2,None,7,0.0
2022,2,28,None,582.4
2022,3,None,7,149.2
2022,3,None,7,150.0
2022,3,None,7,0.0
2022,3,None,7,146.07
2022,3,None,7,146.19
2022,3,None,7,146.07
2022,3,28,None,136.33
2022,3,28,None,174.43
2022,3,28,None,219.4
2022,3,28,None,137.48
2022,3,None,7,165.0
2022,3,28,None,190.94
2022,3,28,None,166.47
2022,3,28,None,144.15
2022,3,28,None,134.34
2022,3,28,None,162.44
2022,3,28,None,106.9
2022,3,28,None,112.51
2022,3,28,None,187.79
2022,3,28,None,199.7
2022,3,28,None,192.3
2022,3,28,None,261.44
2022,3,28,None,146.23
2022,3,28,None,189.33
2022,3,28,None,174.91
2022,3,28,None,167.38
2022,3,28,None,193.82
2022,3,28,None,143.2
2022,3,28,None,176.67
2022,3,28,None,180.61
2022,3,28,None,112.41
2022,3,28,None,138.46
2022,3,28,None,224.47
2022,3,28,None,147.93
2022,3,28,None,0.0
2022,3,None,7,0.0
2022,3,28,None,712.5
2022,4,None,7,147.03
2022,4,None,7,147.82
2022,4,None,7,0.0
2022,4,None,7,143.57
2022,4,None,7,143.76
2022,4,None,7,143.57
2022,4,28,None,135.76
2022,4,28,None,175.14
2022,4,28,None,214.5
2022,4,28,None,128.58
2022,4,None,7,156.7
2022,4,28,None,191.38
2022,4,28,None,168.52
2022,4,28,None,142.99
2022,4,28,None,133.73
2022,4,28,None,170.11
2022,4,28,None,106.9
2022,4,28,None,108.03
2022,4,28,None,187.44
2022,4,28,None,203.46
2022,4,28,None,189.53
2022,4,28,None,256.24
2022,4,28,None,147.24
2022,4,28,None,184.42
2022,4,28,None,173.86
2022,4,28,None,169.64
2022,4,28,None,195.91
2022,4,28,None,146.83
2022,4,28,None,178.41
2022,4,28,None,179.18
2022,4,28,None,108.56
2022,4,28,None,133.49
2022,4,28,None,227.61
2022,4,28,None,142.62
2022,4,28,None,0.0
2022,4,None,7,0.0
2022,4,28,None,821.2
